category_group,category,name,description,new,type
Developer Tools,Plugin Ecosystems,Netlify Plugins,"A directory of plugins that extend and customize the Netlify build system, enabling enhanced development, deployment, and site functionality.",,horizontal
Networking,Netlink Communication,Netlink Libraries,"Libraries for interfacing with Linux netlink sockets to enable communication with the kernel for network configuration, monitoring, and management.",,horizontal
Networking,Network Configuration Management,Network Configuration Backup Tools,"Tools for automatically backing up and versioning network device configurations, serving as a modern replacement for legacy tools like RANCID.",,horizontal
Networking,Network Management,Network Connection Managers,Daemons and tools for managing and configuring network interfaces and connections on Linux and other operating systems.,,horizontal
Networking,High-Performance Networking,Network Fabric Libraries,"Libraries providing standardized APIs for high‐performance fabric interfaces, enabling low‐latency, high‐throughput communication in distributed systems and HPC environments.",,horizontal
Operating Systems & Virtualization,File Systems,Network File Servers,"User-space and network file servers that expose file system access via protocols like NFS, offering scalable and interoperable storage access in multi-node and cluster environments.",,horizontal
Operating Systems & Virtualization,Network File Services,Network File Sharing & Print Services,Software providing network file and print sharing services to enable interoperability between Unix/Linux and Windows environments.,,horizontal
Networking,Network Management,Network Management Platforms,"Platforms for monitoring, managing, and alerting on network infrastructure and devices.",,horizontal
Application Definition and Development,Application Definition & Image Build,Network OS Plugin Repositories,"Repositories hosting plugins and extensions for network operating systems to enhance firewall, routing, and security functionalities.",,horizontal
Networking,Packet Capture,Network Packet Capture Libraries,"Libraries that provide low-level interfaces to capture network packets from various kernel packet capture mechanisms for network analysis, sniffing, and monitoring.",,horizontal
Networking,Routing Protocols,Network Routing Software,"Software that implements dynamic routing protocols (e.g., BGP, OSPF, RIP, EIGRP) for managing and optimizing network paths.",,horizontal
Networking,Network Simulation,Network Simulation Tools,"Software for simulating network protocols, distributed systems, and real‐world network conditions using discrete‐event simulation techniques.",,horizontal
Networking,Network Automation & Infrastructure Management,Network Source of Truth & DCIM,"Tools for documenting and automating network infrastructure—including IP address management, data center infrastructure management, cabling, and overall network asset tracking.",,horizontal
Security & Privacy,Network Security & Forensics,Network Traffic Analysis,Tools for monitoring and analyzing network traffic patterns and anomalies.,,horizontal
Application Definition and Development,Databases,NewSQL / Distributed SQL,"Scalable, distributed SQL databases combining traditional RDBMS features with horizontal scalability.",,horizontal
Self-Hosted Solutions,Self-Hosted Applications,Nextcloud Apps,"Open‐source applications built for Nextcloud – a self‐hosted collaboration platform – including apps for contacts, calendars, file sharing, and more.",,horizontal
Programming Languages & Frameworks,Workflow Modules,Nextflow Modules,Repositories hosting reusable modules for constructing Nextflow DSL2‐based workflows – providing standardized building blocks for defining and running data processing pipelines.,,horizontal
Operating Systems & Virtualization,Hardware Modules,NixOS Hardware Modules,A curated collection of NixOS modules that address hardware quirks and improve compatibility across a range of devices in the NixOS ecosystem.,,horizontal
Application Definition and Development,Databases,No-Code Database Platforms,"Tools that transform traditional relational databases into user‐friendly, spreadsheet‐like interfaces with automatic API generation, enabling rapid application development without writing code.",,horizontal
Application Definition and Development,Databases,NoSQL Database Connectivity,"Client libraries offering low-level connectivity to NoSQL datastores—covering key-value, document, or column-based storage.",,horizontal
Application Definition and Development,Databases,NoSQL Databases,"Non-relational databases designed for flexible, scalable data storage and retrieval.",,horizontal
Programming Languages & Frameworks,Node.js Polyfills,Node.js Core Module Polyfills,"Libraries that emulate Node.js core modules for browser environments, enabling consistent code across server and client.",,horizontal
Programming Languages & Frameworks,Utility Libraries,Node.js File System Utilities,Utilities for performing file system operations—such as recursive deletion—in Node.js environments.,,horizontal
Programming Languages & Frameworks,Module Resolution Libraries,Node.js Module Resolution Libraries,Libraries that implement module resolution algorithms for Node.js—providing the functionality behind require() path lookup and module resolution logic.,,horizontal
Programming Languages & Frameworks,Node.js Native Addons,Node.js Native Addon APIs,"Libraries that provide a high‐level C++ interface to build native addons for Node.js, abstracting the Node-API for seamless integration.",,horizontal
Runtime,Container Runtime,OCI Runtimes,Low-level container runtimes compliant with Open Container Initiative specifications.,,horizontal
Artificial Intelligence & Machine Learning,Computer Vision,OCR Engines,Software for converting images or printed text into machine‐readable text using optical character recognition techniques.,,horizontal
Artificial Intelligence & Machine Learning,Computer Vision & Image Processing,OCR Toolkits,"Toolkits for optical character recognition (OCR) that offer detection, recognition, and multi-language text extraction, with support for training and deployment across server, mobile, embedded, and IoT devices.",,horizontal
Application Definition and Development,Data Access & Persistence,ODM & Persistence Frameworks,"Libraries and frameworks that enable object data modeling and schema-based validation for document-oriented databases, primarily MongoDB.",,horizontal
Application Definition and Development,Databases,OLAP Datastores,"Datastores optimized for real‑time, distributed OLAP analytics, enabling low‑latency complex queries over large-scale data.",,horizontal
Networking,Industrial Protocol Libraries,OPC UA Libraries,"Open‐source libraries implementing the OPC UA (OPC Unified Architecture) standard for secure, reliable industrial communication in embedded and industrial applications.",,horizontal
Application Definition and Development,Data Access & Persistence,ORM & Persistence Frameworks,"Libraries and frameworks that simplify data persistence by mapping objects to relational databases, easing integration between object models and SQL databases.",,horizontal
Operating Systems & Virtualization,Operating Systems,OS Build Systems,Build systems and infrastructure tools for constructing operating system distributions and components.,,horizontal
Operating Systems & Virtualization,Operating Systems,OS Development Frameworks,"Frameworks for building custom operating systems by providing modular, secure, and flexible building blocks that enable experimental and production-grade OS development.",,horizontal
Operating Systems & Virtualization,Operating System Deployment Tools,OS Image Deployment Tools,"Tools for managing immutable OS images and enabling atomic, versioned system and container upgrades.",,horizontal
Operating Systems & Virtualization,Operating Systems,OS Installation Tools,"Tools and utilities for installing and configuring operating systems, including both graphical and text-based installers used by various Linux distributions.",,horizontal
Developer Tools,Testing & QA Tools,OS Testing Suites,"Tools for testing operating systems, kernel interfaces, and POSIX compliance to ensure stable and secure system performance.",,horizontal
Runtime,OSGi Runtimes,OSGi Containers,"Containers implementing the OSGi standard to host modular, dynamic Java applications.",,horizontal
Artificial Intelligence & Machine Learning,Deep Learning,Object Detection Models,Open‐source deep learning models specialized in detecting and localizing objects in images and videos.,,horizontal
Programming Languages & Frameworks,Binary Format Libraries,Object File Format Libraries,"Libraries for reading, writing, and manipulating binary object file formats such as ELF, Mach-O, and PE.",,horizontal
Runtime,Cloud Native Storage,Object Storage Systems,Scalable storage solutions for unstructured data using unique identifiers.,,horizontal
Observability & Analysis,Monitoring,Observability Agents,"Tools that run on hosts to collect and forward logs, metrics, and other observability data to centralized monitoring systems.",,horizontal
Observability & Analysis,Data Collection Agents,Observability Data Collection Agents,"Agents that collect, process, and forward telemetry data—including metrics, logs, and traces—for observability purposes.",,horizontal
Observability & Analysis,Observability Data Pipelines,Observability Data Pipeline Tools,"Tools for collecting, processing, and routing observability data such as logs, metrics, and events.",,horizontal
Observability & Analysis,Instrumentation Libraries,Observability Instrumentation Libraries,"Libraries and SDKs for instrumenting applications to generate telemetry data (metrics, traces, and logs) in a vendor-neutral way.",,horizontal
End‑User Applications,Productivity Software,Office Suites,"Complete suites of productivity software providing integrated word processing, spreadsheets, presentations, and related office tools.",,horizontal
Artificial Intelligence & Machine Learning,Deep Learning,On-Device Neural Engines,Frameworks and runtimes optimized for executing neural network models directly on edge and mobile devices.,,horizontal
End‑User Applications,Office Suites,Online Office Suites,"Web‐based office suite applications for collaborative document editing, spreadsheet management, and presentation creation.",,horizontal
Software Discovery,Software Directories,Open Source Catalogs,Curated directories and listings of open source software projects that facilitate discovery and evaluation of available tools and applications.,,horizontal
Observability & Analysis,Open Source Health Analytics,Open Source Community Health Analytics Tools,"Tools for collecting, analyzing, and visualizing metrics related to the health, sustainability, and engagement of open source communities.",,horizontal
Interactive Entertainment,Games,Open Source Games,"Open‑source projects that are complete video games offering multiplayer, role‑playing, or simulation experiences. This collection is ideal for community‐driven game codebases where the game logic is available for modification and experimentation.",,horizontal
Developer Tools,Standards & Specifications,Open Standards & Specifications,"Repositories hosting open standards and normative specification documents that define protocols, APIs, and interoperability guidelines for software ecosystems.",,horizontal
Application Definition and Development,Package Managers,OpenWrt Package Repositories,"Repositories hosting build scripts and package definitions for OpenWrt, a popular embedded Linux distribution for routers and IoT devices.",,horizontal
Operating Systems & Virtualization,Operating Systems,Operating System Kernels,"Core kernel implementations powering operating systems. This collection includes projects that implement the OS kernel, providing the essential operating system functions.",,horizontal
Scientific Computing & Engineering,Optimization Tools,Optimization Modeling Tools,"Libraries and modeling languages for formulating and solving linear, nonlinear, and integer optimization problems.",,horizontal
Digital Presence & Marketing,Web Presence,Organization Websites,"Open source websites maintained by organizations to showcase their projects, culture, and community engagement.",,horizontal
Runtime,Cloud Native Networking,Overlay Network Tools,Software creating virtual networks to connect containers across multiple hosts.,,horizontal
Programming Languages & Frameworks,Document Generation Libraries,PDF Generation Libraries,Libraries for generating PDF documents programmatically using code – often using declarative UI frameworks like React to define document layouts.,,horizontal
Programming Languages & Frameworks,Document Rendering Libraries,PDF Viewer Libraries,Libraries for rendering and viewing PDF documents within web and desktop applications.,,horizontal
Programming Languages & Frameworks,Web Development Frameworks,PHP API Frameworks,"Frameworks for building server-side APIs with PHP, supporting REST, GraphQL, hypermedia, and modern API standards.",,horizontal
Programming Languages & Frameworks,PHP Components & Libraries,PHP Form Libraries,"Libraries for building, processing, and reusing HTML forms in PHP applications.",,horizontal
Programming Languages & Frameworks,HTTP Libraries,PHP HTTP Libraries,"Libraries for handling HTTP requests and responses in PHP, providing an object‐oriented abstraction of the HTTP specification.",,horizontal
Programming Languages & Frameworks,Language Compilers & Transpilers,PHP Parsers,"Tools for parsing PHP code into abstract syntax trees (ASTs) for analysis, transformation, and tooling.",,horizontal
Programming Languages & Frameworks,PHP Polyfills,PHP Polyfill Libraries,"Libraries that provide polyfills to bring modern PHP functionality to older PHP environments, ensuring portability and backward compatibility.",,horizontal
Programming Languages & Frameworks,Process Execution Tools,PHP Process Execution Libraries,PHP libraries for executing system commands and managing subprocesses.,,horizontal
Programming Languages & Frameworks,PHP Frameworks,PHP eCommerce Frameworks,Open‐source frameworks built with PHP for creating robust eCommerce platforms and solutions.,,horizontal
Application Definition and Development,Package Managers,Package Manager Registries,Repositories hosting metadata and indexes for software packages in package manager ecosystems.,,horizontal
Networking,Packet Processing,Packet Processing Libraries,Libraries and frameworks for high‐performance packet processing and data‐plane acceleration in user space.,,horizontal
Programming Languages & Frameworks,Pagination Libraries,Pagination Libraries,"Libraries that provide efficient, customizable pagination functionalities for web applications – enabling developers to split large datasets into manageable pages. (Designed with Ruby gems like Pagy in mind, but applicable to other languages as well.)",,horizontal
Programming Languages & Frameworks,Programming Languages,Parallel & High-Performance Computing Languages,Programming languages designed to simplify parallel and distributed computing challenges in high‐performance environments.,,horizontal
Programming Languages & Frameworks,Parallel Computing,Parallel Computing Libraries,"Libraries that simplify parallel execution of code by leveraging multi-threading, multiprocessing, or distributed execution paradigms for faster computations.",,horizontal
Developer Tools,Testing & QA Tools,Parallel Test Runners,"Tools that execute tests concurrently by splitting test suites across multiple CPUs, reducing overall test duration for faster feedback.",,horizontal
Programming Languages & Frameworks,Language Compilers & Transpilers,Parser Generators,"Tools for generating parsers from grammar specifications to facilitate language recognition, processing, and translation.",,horizontal
Security & Privacy,Credential Management,Password Managers,Applications for securely storing and managing passwords and other credentials.,,horizontal
Community & Collaboration,Content Review & Submission,Peer Review & Submission Platforms,"Platforms for managing content submissions, peer review workflows, and editorial processes for open educational and scholarly projects.",,horizontal
Networking,Peer-to-Peer Networking,Peer-to-Peer Networking Libraries,"Libraries and frameworks for building decentralized, peer-to-peer networking stacks that enable direct, resilient node-to-node communication.",,horizontal
Security & Privacy,Penetration Testing,Penetration Testing Tools,"Frameworks and utilities for conducting security assessments, exploiting vulnerabilities, and performing penetration tests on target systems.",,horizontal
Blockchain & Distributed Ledger,Enterprise & Permissioned DLT,Permissioned Blockchain Frameworks,Blockchain platforms designed for enterprise use with restricted access and customizable consensus.,,horizontal
Digital Identifier Infrastructure,Persistent Identifier Systems,Persistent Identifier Services,"Platforms and tools that provide stable, persistent redirection and identifier resolution to support long‐term access and reliable linking of digital resources.",,horizontal
End‑User Applications,Personal Productivity Apps,Personal Knowledge Management,"Open‐source applications that enable users to organize, manage, and retrieve personal notes and knowledge. These projects typically support markdown editing, offline or local-first storage, self‐hosting, and integration with tools like OCR or AI for enhancing personal knowledge bases.",,horizontal
Security & Privacy,Threat Intelligence & Phishing Prevention,Phishing Detection Tools,"Utilities for detecting phishing attempts and malicious domains, particularly to protect Web3 and crypto users.",,horizontal
Web Platforms,CMS Extensions,Pimcore Plugins,"Plugins and extensions for the Pimcore digital experience platform, enhancing its eCommerce and content management capabilities.",,horizontal
Application Definition and Development,Dependency Management,Platform BOMs,Projects that aggregate and version align dependency sets to provide a consistent platform for application development.,,horizontal
Application Definition and Development,Package Managers,Podspec Repositories,Repositories hosting podspec files for distributing iOS and macOS libraries via CocoaPods.,,horizontal
Scientific Computing & Engineering,Point Cloud Processing,Point Cloud Processing Libraries,"Libraries for processing, analyzing, and managing 3D point cloud data – the 'GDAL for point clouds' – that enable filtering, transforming, and spatial analysis in scientific and geospatial applications.",,horizontal
Provisioning,Security & Compliance,Policy & Compliance Engines,Tools for enforcing security policies and maintaining regulatory compliance,,horizontal
Programming Languages & Frameworks,Cross-Language Tools,Polyglot Library Generators,Tools for generating language bindings and libraries across multiple programming languages from a single codebase.,,horizontal
Programming Languages & Frameworks,Cross-Language Tools,R and C++ Integration,Tools for integrating R and C++ codebases.,,horizontal
Developer Tools,CLI Tools,PowerShell Modules,"Open‐source PowerShell modules and cmdlets for automating administration and management of Microsoft 365, SharePoint, Teams, and other Microsoft platforms.",,horizontal
Application Definition and Development,Application Definition & Image Build,Pre-built Container Images,Curated repositories offering ready-to-use container images for various applications and environments.,,horizontal
Security & Privacy,Identity & Access Management,Privileged Access Management Tools,"Software for managing and controlling privileged access to critical systems, including bastion hosts and secure session management.",,horizontal
Scientific Computing & Engineering,Statistical Modeling,Probabilistic Programming,"Languages and tools for probabilistic modeling, Bayesian inference, and statistical simulation.",,horizontal
Programming Languages & Frameworks,Process Execution Tools,Process Execution Libraries,Libraries that simplify process execution and child process management in Node.js and JavaScript environments.,,horizontal
Product Intelligence & Experimentation,Product Analytics,Product Analytics Platforms,"Open‐source platforms for capturing, analyzing, and acting on product usage data – including web analytics, session recording, A/B testing, and surveys.",,horizontal
Observability & Analysis,Tracing & Profiling,Profiling & APM Tools,"Tools for analyzing code performance, identifying bottlenecks, and optimizing application efficiency.",,horizontal
Programming Languages & Frameworks,Multimedia,Programmatic Video Rendering Tools,Tools and libraries that enable developers to create and render videos entirely via code — often using frameworks such as React to declaratively define video sequences and animations.,,horizontal
Developer Tools,Educational Resources,Programming Books & Learning Resources,Curated collections of free programming books and educational materials to help developers learn and improve their skills.,,horizontal
Application Definition and Development,Package Managers,Programming Language Package Managers,Tools for managing and distributing software packages and dependencies for various programming languages.,,horizontal
Application Definition and Development,Package Managers,Programming Language Package Registries,Registries for programming language packages that provide a curated index and metadata for package discovery and dependency resolution.,,horizontal
Programming Languages & Frameworks,Standard Libraries,Programming Language Standard Libraries,"Core open‐source libraries that provide the essential, standardized APIs and functionality as part of programming language ecosystems.",,horizontal
Developer Tools,Version Management Tools,Programming Language Version Managers,"Tools for managing and installing multiple versions of programming language toolchains (e.g. Rust’s rustup, similar to tools like nvm or rvm).",,horizontal
Programming Languages & Frameworks,Utility Libraries,Progress Bar Libraries,Libraries for displaying progress bars in terminal and graphical interfaces to enhance feedback during long-running or iterative tasks.,,horizontal
Application Definition and Development,Feature Flagging & Progressive Delivery,Progressive Delivery Tools,Platforms for implementing gradual and controlled rollout of application updates.,,horizontal
Developer Tools,Project Scaffolding,Project Generators & Scaffolding Tools,Tools that bootstrap and scaffold new projects by generating boilerplate code and project structures quickly and consistently.,,horizontal
Business & Productivity,Business Applications,Project Management Software,"Open‑source software designed to help teams plan, track and execute projects with agile practices (e.g. scrum) and built‑in bug tracking.",,horizontal
End‑User Applications,Project Management,Project Management Systems,"Open‐source project management systems for organizing tasks, goals, and team collaboration – built for simplicity and ease‐of‐use, including designs that aid users with neurodiverse needs.",,horizontal
Programming Languages & Frameworks,Asynchronous Programming,Promise Libraries,Libraries that implement the Promise API to facilitate robust asynchronous programming in JavaScript applications with enhanced performance and additional features.,,horizontal
Programming Languages & Frameworks,Proof Assistants,Proof Assistant Libraries,Libraries and frameworks for formalizing mathematics and verifying proofs using proof assistants.,,horizontal
Artificial Intelligence & Machine Learning,Natural Language Processing Tools,Proofreading and Grammar Checking Tools,"Tools that enhance written communication by automatically checking grammar, spelling, and style across multiple languages.",,horizontal
Developer Tools,Testing & QA Tools,Property-Based Testing Tools,"Libraries for property-based testing that generate test cases automatically from defined properties, enabling more robust and automatic testing.",,horizontal
Security & Privacy,Cryptography & PKI,Public Key Infrastructure Tools,"Software for managing digital certificates, keys, and PKI operations.",,horizontal
Runtime,Web Servers,Python ASGI Servers,"Lightweight, high-performance ASGI server implementations for Python web applications.",,horizontal
Programming Languages & Frameworks,Compatibility Libraries,Python Compatibility Libraries,Libraries that provide utility functions to support code compatibility between different Python versions.,,horizontal
Programming Languages & Frameworks,Utility Libraries,Python Iteration Utilities,"A Python library that extends the standard itertools module with additional iterator building blocks and functions, offering enhanced composability for iterative operations.",,horizontal
Programming Languages & Frameworks,Python Utility Libraries,Python Metadata Libraries,Libraries providing APIs to access and parse metadata from installed Python packages.,,horizontal
Programming Languages & Frameworks,Language Compilers & Transpilers,Python Parsing Libraries,Python libraries that provide parser combinators and PEG-based parsing functionality for building custom parsers and domain-specific language interpreters.,,horizontal
Programming Languages & Frameworks,Type Definitions,Python Type Stubs,Repositories of Python library stubs that provide static type annotations to support type checking and tooling in Python projects.,,horizontal
Programming Languages & Frameworks,Type Definitions,Python Typing Extensions,A library providing backported and experimental type hints that extend Python’s built‐in typing module to support enhanced static type checking.,,horizontal
Programming Languages & Frameworks,Utility Libraries,Python Utility Libraries,"Utility libraries providing essential data structures and helper functions specifically for Python development. This collection includes projects like multidict that implement specialized containers for handling multiple values per key, a common need in web and asynchronous applications.",,horizontal
Developer Tools,Environment Management Tools,Python Virtual Environment Tools,Tools for creating isolated Python environments to streamline dependency management and reproducible development workflows.,,horizontal
Runtime,Web Servers,Python WSGI Servers,A collection of open‑source WSGI HTTP servers built in Python for running web applications efficiently in production.,,horizontal
Programming Languages & Frameworks,Serialization Libraries,Python YAML Libraries,Libraries for parsing and emitting YAML in Python.,,horizontal
Programming Languages & Frameworks,Python Utility Libraries,Python Zip File Utilities,Libraries providing a pathlib‐like interface to access and manipulate the contents of zip archives in Python.,,horizontal
Programming Languages & Frameworks,Language Compilers & Transpilers,Python to C Compilers,Tools that compile Python code into C to improve performance and enable efficient integration with CPython extensions.,,horizontal
Networking,Network Protocol Implementations,QUIC Implementations,"Open source implementations of the QUIC transport protocol for high-performance, secure network communication.",,horizontal
Programming Languages & Frameworks,Desktop Application Development,Qt Applications,"Open-source desktop applications developed using the Qt framework, offering cross-platform rich graphical interfaces.",,horizontal
Programming Languages & Frameworks,Financial Libraries,Quantitative Finance Libraries,"Libraries providing quantitative models, numerical methods, and financial engineering tools for pricing, risk management, and derivatives analysis.",,horizontal
Quantum Computing,Quantum Computing SDKs,Quantum Computing Frameworks,"SDKs and frameworks for building, simulating, and executing quantum circuits and algorithms.",,horizontal
Data Infrastructure & Analytics,Query Execution,Query Execution Engines,"Libraries and frameworks providing optimized, composable components to execute and accelerate query processing in data management systems.",,horizontal
Networking,RDMA Libraries,RDMA Libraries & Daemons,"Userspace libraries and daemons for enabling Remote Direct Memory Access (RDMA) over high‐performance interconnects such as InfiniBand, iWARP, and RoCE.",,horizontal
Developer Tools,API Clients,REST API Client Libraries,Libraries that simplify interactions with RESTful APIs by providing a dedicated client interface for consuming web services in applications.,,horizontal
Developer Tools,API Clients,REST API Clients,"Client libraries for interacting with RESTful APIs, providing high-level abstractions to simplify API integration in JavaScript applications.",,horizontal
Security & Privacy,Hardware Hacking Tools,RFID & NFC Tools,"Open‐source tools for interacting with RFID and NFC systems, enabling reading, writing, cloning, sniffing, and simulation of contactless communications.",,horizontal
Application Definition and Development,Application Definition & Image Build,ROS Distro Repositories,Repositories hosting metadata and indexes for ROS distributions.,,horizontal
Orchestration & Management,Remote Procedure Call (RPC),RPC Frameworks & Protocols,Technologies for implementing remote procedure calls between distributed systems.,,horizontal
Web & CMS Development,Content Syndication,RSS & Content Syndication Tools,"Tools and platforms that convert web content into syndication feeds such as RSS and Atom, enabling developers to generate feeds for sites lacking native support.",,horizontal
Web Platforms,Content Aggregation Tools,RSS & Feed Readers,"Self‑hostable web applications for aggregating, reading, and organizing RSS/Atom feeds from multiple sources.",,horizontal
Developer Tools,Admin Panels,Rails Admin Panels,Open‑source admin panel libraries for Ruby on Rails that provide pre‑built components and dashboards to easily build administration interfaces.,,horizontal
Programming Languages & Frameworks,Mathematical & Statistical Libraries,Random Number Generation Libraries,"Libraries for generating random numbers and implementing pseudo‑random number generators – useful for simulations, cryptography, and statistical sampling in a variety of applications.",,horizontal
Programming Languages & Frameworks,Animation Libraries,React Animation Libraries,"A collection of open‐source libraries for creating smooth, physics‐based animations and transitions in React and JavaScript applications.",,horizontal
Programming Languages & Frameworks,UI Libraries,React Carousel Components,Reusable carousel and slider UI components built for React applications.,,horizontal
Programming Languages & Frameworks,Form Libraries,React Form Libraries,"Libraries for managing form state, validation, and interactions in React and React Native applications.",,horizontal
Programming Languages & Frameworks,React Libraries,React Hooks Libraries,"A collection of custom React hooks that provide reusable logic for state management, side-effects, and other common patterns specifically in React applications.",,horizontal
Programming Languages & Frameworks,Mobile Application Development,React Native Chat UI Components,A collection of pre‐built chat UI components and SDK tools for React Native that enable developers to rapidly integrate messaging functionality into mobile apps.,,horizontal
Developer Tools,Project Generators & Boilerplates,React Native Starter Kits,Boilerplates and CLI generators for rapidly bootstrapping React Native projects.,,horizontal
Programming Languages & Frameworks,UI Libraries,React Native UI Component Libraries,"Pre-built UI component libraries built with React Native that offer customizable, accessible components and design system patterns for mobile development.",,horizontal
Programming Languages & Frameworks,Mobile Application Development,React Native Video Components,Reusable video playback components for React Native that enable seamless integration of video functionality in mobile apps.,,horizontal
Programming Languages & Frameworks,Reactive Programming & Concurrency,Reactive & Actor Frameworks,"Frameworks and libraries that provide actor‐based concurrency and reactive programming abstractions for building elastic, distributed, high‐performance applications.",,horizontal
Programming Languages & Frameworks,Reactive Programming & Concurrency,Reactive Programming Libraries,"Libraries and frameworks that enable asynchronous, non-blocking, and reactive programming paradigms on the JVM and beyond.",,horizontal
User Interface & Applications,Bookmarking & Read-It-Later,Read-It-Later Applications,"Self‐hostable web applications that allow users to save, organize, and later read web articles and content.",,horizontal
Programming Languages & Frameworks,Real-Time Collaboration,Real-Time Collaboration Frameworks,Libraries and frameworks that enable real-time data synchronization and collaborative editing in distributed web applications.,,horizontal
Artificial Intelligence & Machine Learning,Recommender Systems,Recommender Systems Libraries,Specialized libraries and frameworks for building recommendation systems using deep learning and machine learning techniques.,,horizontal
Application Definition and Development,Database Clients,Redis Clients,"Java libraries for interacting with Redis, offering advanced distributed caching, locking, and data structure operations.",,horizontal
Programming Languages & Frameworks,State Management,Redux Side-Effect Libraries,Middleware libraries that manage asynchronous side effects in Redux applications.,,horizontal
Personal Productivity & Research,Reference Management,Reference Management Tools,"Tools for organizing, annotating, citing, and sharing research sources and bibliographic data.",,horizontal
Programming Languages & Frameworks,Regular Expression Libraries,Regular Expression Engines,Libraries that implement efficient regular expression parsing and matching—often using finite automata to guarantee linear time performance—enabling reliable text processing in software applications.,,horizontal
Application Definition and Development,Databases,Relational Databases,Database systems that organize data into structured tables with predefined relationships.,,horizontal
Developer Tools,Release Management,Automated Release & Changelog,"Tools that automate software releases, versioning, and the generation of change logs—often integrated with CI/CD workflows.",,horizontal
Networking,Remote Access Protocols,Remote Desktop Protocol Libraries & Clients,Open-source libraries and clients for implementing RDP-based remote desktop functionalities.,,horizontal
Developer Tools,Remote Development,Remote Development Platforms,"Platforms for provisioning and managing remote development environments, enabling developers to work from anywhere.",,horizontal
Data Infrastructure & Analytics,Data Repositories,Research Data Repositories,"Software platforms for hosting, managing, and sharing research data and metadata.",,horizontal
Observability & Analysis,Continuous Optimization,Resource Optimization Tools,"Solutions for optimizing resource allocation, scaling, and utilization in cloud environments.",,horizontal
Developer Tools,Email Template Tools,Responsive Email Templates,"Libraries and editors for creating multi-client-compatible, responsive HTML emails—reducing the complexity of cross-platform rendering.",,horizontal
Security & Privacy,Reverse Engineering & Binary Analysis,Reverse Engineering Tools,"Tools for reverse engineering, binary analysis, disassembly, and malware forensics.",,horizontal
Web & CMS Development,Content Editing Tools,Rich Text Editors,"Open‑source libraries and frameworks for building feature‑rich, WYSIWYG content editing experiences in web applications.",,horizontal
Developer Tools,Plugin Ecosystems,Rollup Plugins,"Official plugins for the Rollup JavaScript bundler, providing extended capabilities and integrations to enhance build processes.",,horizontal
Programming Languages & Frameworks,Routing & URL Pattern Matching,Route Pattern Matching Libraries,Libraries that convert URL path templates into regular expressions for efficient routing in web applications.,,horizontal
Orchestration & Management,Configuration Interfaces,Router Configuration Interfaces,Web-based interfaces for configuring and managing routers and embedded network devices.,,horizontal
Programming Languages & Frameworks,Web Development Frameworks,Routing Libraries,"Client‐side libraries for handling navigation and route management in web applications with features like type safety, caching, and isomorphic rendering.",,horizontal
Programming Languages & Frameworks,Ruby AST,Ruby AST Tools,"Libraries that provide functionalities for parsing, processing, and pattern matching of Ruby abstract syntax trees. These tools empower advanced static analysis, metaprogramming, and can serve as infrastructural components for Ruby linters and code quality tools.",,horizontal
Programming Languages & Frameworks,Serialization Libraries,Ruby JSON Libraries,Libraries for serializing and deserializing JSON data in Ruby.,,horizontal
Programming Languages & Frameworks,Type Definitions,Ruby Type Signatures,"Repositories providing static type signature definitions and tooling for Ruby, enabling enhanced type checking and clearer code documentation in Ruby applications.",,horizontal
Runtime,Web Servers,Ruby Web Servers,"Web servers built in Ruby for efficiently running Rack-based applications, offering robust concurrency and performance.",,horizontal
Programming Languages & Frameworks,Ruby Frameworks,Ruby eCommerce Frameworks,Open‑source Ruby‑based frameworks for building eCommerce platforms and online stores.,,horizontal
Developer Tools,Admin Panels,Ruby on Rails Admin Panels,"Open‐source admin panel libraries for Ruby on Rails that streamline the creation of customizable dashboards, back‐office interfaces, and CRUD operations to accelerate application development.",,horizontal
Programming Languages & Frameworks,Language Compilers & Transpilers,Ruby-to-JavaScript Transpilers,"Transpilers that compile Ruby code into JavaScript, enabling developers to write Ruby code that runs in browsers and Node.js environments.",,horizontal
Developer Tools,Build Tools,Rust Build Script Tools,"Tools that assist Rust build scripts – for example, compiling native C/C++ code and integrating non‐Rust components into Rust projects.",,horizontal
Programming Languages & Frameworks,Rust Libraries,Rust Data Structure Libraries,"A collection of Rust libraries providing high‑performance and optimized data structures and specialized collection types, including inline storage containers like smallvec.",,horizontal
Programming Languages & Frameworks,Rust Libraries,Rust Error Handling Libraries,"Libraries that provide derive macros and utilities for error handling in Rust, reducing boilerplate and improving error management.",,horizontal
Programming Languages & Frameworks,Rust Libraries,Rust Iterator Utilities,"Libraries that provide advanced iterator adaptors, methods, free functions, and macros to extend Rust's built‑in iterator functionality.",,horizontal
Programming Languages & Frameworks,Rust Libraries,Rust Lazy Initialization Libraries,"Rust libraries that provide lazy initialization and single-assignment cell primitives without using macros, enabling safe, on-demand global state initialization.",,horizontal
Programming Languages & Frameworks,Rust Ecosystem,Rust Macro Libraries,"Libraries that provide Rust macros to reduce boilerplate and generate efficient code patterns, such as automatically creating bitflag structures.",,horizontal
Programming Languages & Frameworks,Concurrency & Parallelism Libraries,Rust Parallelism Libraries,Libraries for implementing data parallelism and concurrency in Rust to simplify multi-core processing and improve performance.,,horizontal
Programming Languages & Frameworks,Language Compilers & Transpilers,Rust Parsers,Libraries for parsing Rust source code to facilitate procedural macro development and code analysis.,,horizontal
